"","fips","cases","deaths","color","AAL.Adj.Close","DAL.Adj.Close","LUV.Adj.Close","UAL.Adj.Close","American.Airlines.Inc._avg_passengers","Delta.Air.Lines.Inc._avg_passengers","Southwest.Airlines.Co._avg_passengers","United.Air.Lines.Inc._avg_passengers","avg_passengers_blue_flights","avg_passengers_red_flights","avg_passengers_mixed_flights","region","casedelta","deathdelta"
"fips",1,-0.013,-0.005,0.033,-0.002,-0.007,-0.01,-0.004,0.013,0.011,0.015,0.011,0.011,0.011,0.012,-0.102,-0.024,-0.007
"cases",-0.013,1,0.954,-0.164,0.021,0.018,0.002,0.022,0.055,0.054,0.056,0.053,0.054,0.039,0.054,-0.074,0.54,0.465
"deaths",-0.005,0.954,1,-0.115,0.012,0.01,-0.001,0.012,0.034,0.035,0.036,0.032,0.034,0.029,0.035,-0.066,0.416,0.436
"color",0.033,-0.164,-0.115,1,-0.017,-0.043,-0.046,-0.026,0.028,0.019,0.038,0.021,0.021,0.025,0.025,0.079,-0.163,-0.097
"AAL.Adj.Close",-0.002,0.021,0.012,-0.017,1,0.925,0.83,0.961,0.52,0.461,0.483,0.55,0.507,0.101,0.431,0.021,-0.006,-0.016
"DAL.Adj.Close",-0.007,0.018,0.01,-0.043,0.925,1,0.879,0.965,0.511,0.473,0.464,0.547,0.511,0.116,0.435,0.029,-0.008,-0.019
"LUV.Adj.Close",-0.01,0.002,-0.001,-0.046,0.83,0.879,1,0.877,0.258,0.173,0.197,0.313,0.238,-0.211,0.129,0.015,-0.003,-0.013
"UAL.Adj.Close",-0.004,0.022,0.012,-0.026,0.961,0.965,0.877,1,0.548,0.488,0.507,0.582,0.537,0.103,0.454,0.029,-0.006,-0.016
"American.Airlines.Inc._avg_passengers",0.013,0.055,0.034,0.028,0.52,0.511,0.258,0.548,1,0.97,0.995,0.995,0.995,0.594,0.958,0.03,-0.005,-0.022
"Delta.Air.Lines.Inc._avg_passengers",0.011,0.054,0.035,0.019,0.461,0.473,0.173,0.488,0.97,1,0.977,0.947,0.989,0.762,0.997,0.035,-0.011,-0.023
"Southwest.Airlines.Co._avg_passengers",0.015,0.056,0.036,0.038,0.483,0.464,0.197,0.507,0.995,0.977,1,0.979,0.992,0.654,0.973,0.03,-0.006,-0.021
"United.Air.Lines.Inc._avg_passengers",0.011,0.053,0.032,0.021,0.55,0.547,0.313,0.582,0.995,0.947,0.979,1,0.984,0.518,0.929,0.03,-0.004,-0.023
"avg_passengers_blue_flights",0.011,0.054,0.034,0.021,0.507,0.511,0.238,0.537,0.995,0.989,0.992,0.984,1,0.66,0.979,0.033,-0.008,-0.023
"avg_passengers_red_flights",0.011,0.039,0.029,0.025,0.101,0.116,-0.211,0.103,0.594,0.762,0.654,0.518,0.66,1,0.798,0.03,-0.022,-0.012
"avg_passengers_mixed_flights",0.012,0.054,0.035,0.025,0.431,0.435,0.129,0.454,0.958,0.997,0.973,0.929,0.979,0.798,1,0.034,-0.012,-0.022
"region",-0.102,-0.074,-0.066,0.079,0.021,0.029,0.015,0.029,0.03,0.035,0.03,0.03,0.033,0.03,0.034,1,-0.047,-0.053
"casedelta",-0.024,0.54,0.416,-0.163,-0.006,-0.008,-0.003,-0.006,-0.005,-0.011,-0.006,-0.004,-0.008,-0.022,-0.012,-0.047,1,0.727
"deathdelta",-0.007,0.465,0.436,-0.097,-0.016,-0.019,-0.013,-0.016,-0.022,-0.023,-0.021,-0.023,-0.023,-0.012,-0.022,-0.053,0.727,1
